invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax,total,date,time,payment,cogs,gross_margin_percentage,gross_income,rating
357-30-3160,A,Yangon,Normal,Male,Electronic_accessories,8.37,6,2.64,52.73,2019-01-13,19:14,Ewallet,50.09,4.7619,2.64,6.3
310-85-2496,A,Naypyitaw,Normal,Female,Health_and_beauty,63.06,1,3.31,66.21,2019-03-20,21:11,Cash,62.9,4.7619,3.31,7.2
576-25-4631,A,Yangon,Normal,Male,Home_and_lifestyle,97.09,9,45.88,917.5,2019-02-15,14:18,Ewallet,871.62,4.7619,45.88,8.4
870-24-1670,B,Mandalay,Member,Female,Health_and_beauty,71.58,8,30.06,601.27,2019-02-26,22:17,Cash,571.21,4.7619,30.06,6.7
617-44-1046,C,Yangon,Member,Female,Electronic_accessories,13.08,9,6.18,123.61,2019-03-06,13:47,Credit_card,117.43,4.7619,6.18,8.9
350-35-8334,C,Naypyitaw,Member,Female,Electronic_accessories,18.13,6,5.71,114.22,2019-03-06,15:26,Ewallet,108.51,4.7619,5.71,7.6
795-23-1704,C,Yangon,Member,Male,Home_and_lifestyle,61.2,8,25.7,514.08,2019-02-23,18:09,Cash,488.38,4.7619,25.7,7.6
614-83-1864,B,Yangon,Member,Male,Health_and_beauty,67.69,7,24.88,497.52,2019-02-26,13:31,Ewallet,472.64,4.7619,24.88,6.1
625-40-2744,B,Mandalay,Normal,Male,Health_and_beauty,93.68,2,9.84,196.73,2019-03-06,10:01,Cash,186.89,4.7619,9.84,8.2
372-90-6582,A,Yangon,Member,Male,Home_and_lifestyle,23.86,2,2.51,50.11,2019-02-23,16:47,Cash,47.6,4.7619,2.51,7.1
905-57-9163,C,Yangon,Normal,Female,Home_and_lifestyle,14.03,4,2.95,58.93,2019-03-15,16:27,Ewallet,55.98,4.7619,2.95,9.6
813-87-9833,A,Yangon,Normal,Male,Home_and_lifestyle,24.36,3,3.84,76.73,2019-01-12,11:39,Cash,72.89,4.7619,3.84,9.9
655-12-7976,C,Naypyitaw,Member,Female,Health_and_beauty,15.51,6,4.89,97.71,2019-01-21,19:15,Ewallet,92.82,4.7619,4.89,5.3
833-69-8801,B,Mandalay,Member,Female,Home_and_lifestyle,71.11,9,33.6,671.99,2019-02-06,11:31,Cash,638.39,4.7619,33.6,7.9
292-28-5847,B,Naypyitaw,Normal,Male,Home_and_lifestyle,70.11,8,29.45,588.92,2019-03-19,11:48,Cash,559.47,4.7619,29.45,8.1
246-95-6919,A,Naypyitaw,Member,Female,Home_and_lifestyle,47.35,9,22.37,447.46,2019-04-01,11:36,Cash,425.09,4.7619,22.37,8.2
527-27-8555,A,Yangon,Member,Male,Health_and_beauty,64.53,3,10.16,203.27,2019-01-25,15:47,Credit_card,193.11,4.7619,10.16,9.2
818-84-4859,C,Mandalay,Member,Female,Electronic_accessories,70.23,10,36.87,737.42,2019-01-07,13:57,Ewallet,700.55,4.7619,36.87,7.5
635-88-6418,A,Mandalay,Member,Male,Electronic_accessories,20.81,9,9.83,196.65,2019-02-24,19:20,Credit_card,186.82,4.7619,9.83,5.3
120-25-7254,C,Yangon,Member,Male,Health_and_beauty,23.44,10,12.31,246.12,2019-02-03,11:45,Credit_card,233.81,4.7619,12.31,6.0
197-66-6045,A,Yangon,Normal,Male,Health_and_beauty,46.31,9,21.88,437.63,2019-03-15,11:43,Credit_card,415.75,4.7619,21.88,9.8
420-77-5560,A,Naypyitaw,Member,Male,Home_and_lifestyle,67.65,6,21.31,426.2,2019-01-25,20:16,Cash,404.89,4.7619,21.31,7.6
377-57-4882,A,Yangon,Normal,Male,Electronic_accessories,19.06,5,5.0,100.06,2019-02-13,22:36,Cash,95.06,4.7619,5.0,7.9
633-91-1019,B,Yangon,Member,Male,Health_and_beauty,53.68,10,28.18,563.64,2019-03-31,12:39,Credit_card,535.46,4.7619,28.18,6.5
835-45-6504,C,Mandalay,Member,Male,Electronic_accessories,57.18,2,6.0,120.08,2019-03-22,10:42,Cash,114.08,4.7619,6.0,5.1
598-12-9424,C,Mandalay,Normal,Female,Home_and_lifestyle,84.05,1,4.41,88.25,2019-02-24,13:23,Cash,83.84,4.7619,4.41,7.1
708-16-8860,A,Yangon,Normal,Female,Health_and_beauty,54.1,10,28.4,568.05,2019-02-09,22:21,Credit_card,539.65,4.7619,28.4,5.1
319-83-4899,B,Yangon,Member,Female,Electronic_accessories,84.34,1,4.43,88.56,2019-02-14,11:02,Credit_card,84.13,4.7619,4.43,5.9
947-51-4115,C,Mandalay,Normal,Female,Electronic_accessories,91.3,6,28.76,575.19,2019-03-01,19:11,Credit_card,546.43,4.7619,28.76,7.8
868-56-9283,B,Mandalay,Normal,Female,Home_and_lifestyle,33.69,10,17.69,353.75,2019-02-28,14:45,Credit_card,336.06,4.7619,17.69,7.9
119-73-6866,A,Mandalay,Member,Male,Electronic_accessories,27.36,4,5.75,114.91,2019-01-20,17:27,Ewallet,109.16,4.7619,5.75,8.8
618-92-8243,A,Mandalay,Normal,Female,Electronic_accessories,96.47,2,10.13,202.59,2019-01-27,22:10,Credit_card,192.46,4.7619,10.13,7.3
471-81-2361,A,Mandalay,Normal,Male,Health_and_beauty,49.49,4,10.39,207.86,2019-03-09,19:35,Ewallet,197.47,4.7619,10.39,6.8
640-71-4342,A,Naypyitaw,Normal,Male,Electronic_accessories,91.32,6,28.77,575.32,2019-02-06,15:03,Cash,546.55,4.7619,28.77,6.9
485-35-1647,A,Naypyitaw,Normal,Male,Home_and_lifestyle,57.92,9,27.37,547.34,2019-03-06,10:07,Credit_card,519.97,4.7619,27.37,5.3
569-26-8676,B,Mandalay,Normal,Female,Home_and_lifestyle,55.86,7,20.53,410.57,2019-02-09,16:24,Ewallet,390.04,4.7619,20.53,5.0
951-16-5761,B,Naypyitaw,Normal,Male,Electronic_accessories,18.03,7,6.63,132.52,2019-02-14,14:17,Credit_card,125.89,4.7619,6.63,5.1
294-10-7874,B,Mandalay,Normal,Male,Health_and_beauty,93.86,4,19.71,394.21,2019-03-04,17:33,Ewallet,374.5,4.7619,19.71,6.2
656-99-2897,A,Yangon,Normal,Male,Home_and_lifestyle,12.58,1,0.66,13.21,2019-03-06,21:41,Ewallet,12.55,4.7619,0.66,8.9
369-83-1952,C,Naypyitaw,Member,Male,Home_and_lifestyle,40.12,2,4.21,84.25,2019-01-09,17:15,Cash,80.04,4.7619,4.21,8.8
735-80-5105,A,Mandalay,Member,Male,Electronic_accessories,91.21,2,9.58,191.54,2019-03-15,16:04,Ewallet,181.96,4.7619,9.58,9.7
430-85-3519,A,Naypyitaw,Normal,Female,Electronic_accessories,10.49,10,5.51,110.15,2019-03-22,18:34,Credit_card,104.64,4.7619,5.51,7.0
558-58-7073,B,Mandalay,Normal,Female,Health_and_beauty,11.32,5,2.97,59.43,2019-03-27,11:54,Credit_card,56.46,4.7619,2.97,9.5
410-96-5436,A,Yangon,Member,Male,Electronic_accessories,90.1,8,37.84,756.84,2019-01-03,17:29,Cash,719.0,4.7619,37.84,7.0
805-17-1371,B,Mandalay,Member,Male,Home_and_lifestyle,14.1,8,5.92,118.44,2019-02-15,12:28,Credit_card,112.52,4.7619,5.92,6.3
860-80-5821,C,Naypyitaw,Normal,Male,Electronic_accessories,42.87,5,11.25,225.07,2019-03-24,15:04,Ewallet,213.82,4.7619,11.25,7.6
220-96-7341,C,Naypyitaw,Normal,Male,Home_and_lifestyle,37.71,8,15.84,316.76,2019-01-06,16:17,Credit_card,300.92,4.7619,15.84,6.5
127-28-2064,C,Naypyitaw,Member,Female,Home_and_lifestyle,13.59,10,7.13,142.7,2019-01-28,22:48,Credit_card,135.57,4.7619,7.13,8.6
914-49-3458,B,Naypyitaw,Member,Male,Home_and_lifestyle,53.52,6,16.86,337.18,2019-01-01,22:10,Ewallet,320.32,4.7619,16.86,6.9
167-17-3073,A,Yangon,Normal,Male,Home_and_lifestyle,21.42,4,4.5,89.96,2019-03-20,19:35,Cash,85.46,4.7619,4.5,8.5
885-49-9592,A,Mandalay,Normal,Male,Electronic_accessories,63.83,7,23.46,469.15,2019-03-30,19:20,Ewallet,445.69,4.7619,23.46,6.4
649-96-9238,B,Naypyitaw,Normal,Male,Electronic_accessories,43.44,3,6.84,136.84,2019-03-25,22:33,Cash,130.0,4.7619,6.84,8.2
264-94-7865,C,Mandalay,Normal,Female,Home_and_lifestyle,97.25,10,51.06,1021.12,2019-01-07,17:52,Ewallet,970.06,4.7619,51.06,7.9
218-86-9325,C,Mandalay,Member,Male,Electronic_accessories,44.28,6,13.95,278.96,2019-02-08,20:15,Credit_card,265.01,4.7619,13.95,9.7
530-77-5821,B,Mandalay,Normal,Male,Home_and_lifestyle,26.07,8,10.95,218.99,2019-02-13,11:24,Ewallet,208.04,4.7619,10.95,5.8
798-78-6537,C,Mandalay,Member,Male,Electronic_accessories,41.3,8,17.35,346.92,2019-01-09,21:12,Credit_card,329.57,4.7619,17.35,5.8
825-61-8329,C,Yangon,Member,Male,Electronic_accessories,98.77,8,41.48,829.67,2019-03-07,14:00,Credit_card,788.19,4.7619,41.48,7.8
925-65-2503,B,Mandalay,Normal,Female,Electronic_accessories,8.74,7,3.21,64.24,2019-02-24,16:43,Credit_card,61.03,4.7619,3.21,9.0
292-72-7343,B,Naypyitaw,Member,Male,Health_and_beauty,60.69,7,22.3,446.07,2019-01-18,10:50,Cash,423.77,4.7619,22.3,6.7
578-62-8301,B,Mandalay,Member,Male,Electronic_accessories,47.88,8,20.11,402.19,2019-01-17,11:30,Cash,382.08,4.7619,20.11,9.9
182-31-7805,B,Mandalay,Member,Male,Home_and_lifestyle,20.91,2,2.2,43.91,2019-02-17,15:57,Cash,41.71,4.7619,2.2,8.4
128-35-8084,B,Naypyitaw,Normal,Male,Home_and_lifestyle,5.17,7,1.9,38.0,2019-03-27,13:16,Credit_card,36.1,4.7619,1.9,7.9
437-22-8301,C,Naypyitaw,Normal,Male,Electronic_accessories,90.64,3,14.28,285.52,2019-03-21,13:24,Ewallet,271.24,4.7619,14.28,5.3
214-55-8914,C,Mandalay,Member,Male,Health_and_beauty,66.4,6,20.92,418.32,2019-01-20,22:51,Cash,397.4,4.7619,20.92,5.2
333-46-7070,A,Mandalay,Normal,Male,Home_and_lifestyle,70.05,8,29.42,588.42,2019-01-06,19:05,Ewallet,559.0,4.7619,29.42,7.5
470-98-9971,A,Mandalay,Normal,Male,Electronic_accessories,75.12,4,15.78,315.5,2019-01-25,14:23,Cash,299.72,4.7619,15.78,6.2
141-37-9060,C,Yangon,Normal,Male,Health_and_beauty,8.38,6,2.64,52.79,2019-03-16,13:50,Cash,50.15,4.7619,2.64,10.0
958-97-1707,A,Yangon,Normal,Female,Electronic_accessories,18.62,8,7.82,156.41,2019-01-12,17:08,Credit_card,148.59,4.7619,7.82,6.7
865-63-3552,B,Mandalay,Normal,Male,Electronic_accessories,21.32,7,7.83,156.7,2019-03-16,13:43,Cash,148.87,4.7619,7.83,5.7
865-90-1859,B,Mandalay,Member,Female,Electronic_accessories,64.46,9,30.46,609.15,2019-01-02,20:09,Ewallet,578.69,4.7619,30.46,5.3
289-63-2805,C,Naypyitaw,Member,Male,Health_and_beauty,68.69,3,10.82,216.37,2019-03-12,12:46,Cash,205.55,4.7619,10.82,5.6
578-72-7372,A,Mandalay,Normal,Female,Electronic_accessories,60.75,9,28.7,574.09,2019-01-24,14:06,Credit_card,545.39,4.7619,28.7,8.5
364-32-5865,C,Yangon,Normal,Female,Electronic_accessories,73.33,6,23.1,461.98,2019-03-17,12:23,Credit_card,438.88,4.7619,23.1,7.5
528-11-9039,C,Naypyitaw,Normal,Male,Home_and_lifestyle,54.75,4,11.5,229.95,2019-03-02,17:39,Ewallet,218.45,4.7619,11.5,7.2
768-64-4043,B,Mandalay,Member,Female,Electronic_accessories,98.17,10,51.54,1030.79,2019-01-12,19:06,Cash,979.25,4.7619,51.54,7.8
236-49-1623,C,Mandalay,Normal,Male,Home_and_lifestyle,81.73,8,34.33,686.53,2019-01-21,18:25,Credit_card,652.2,4.7619,34.33,6.2
801-80-8599,C,Mandalay,Member,Male,Home_and_lifestyle,97.85,10,51.37,1027.42,2019-02-07,12:55,Credit_card,976.05,4.7619,51.37,8.6
380-12-2492,A,Naypyitaw,Normal,Male,Home_and_lifestyle,74.79,5,19.63,392.65,2019-03-13,22:48,Ewallet,373.02,4.7619,19.63,8.9
370-16-4613,B,Mandalay,Member,Male,Home_and_lifestyle,13.93,8,5.85,117.01,2019-03-24,18:00,Ewallet,111.16,4.7619,5.85,7.7
845-21-7588,A,Yangon,Member,Female,Electronic_accessories,94.91,8,39.86,797.24,2019-02-08,11:45,Ewallet,757.38,4.7619,39.86,6.6
811-66-2772,B,Yangon,Normal,Male,Health_and_beauty,81.01,10,42.53,850.61,2019-03-18,12:15,Credit_card,808.08,4.7619,42.53,9.1
300-51-7984,B,Yangon,Member,Male,Electronic_accessories,34.83,3,5.49,109.71,2019-01-24,21:24,Ewallet,104.22,4.7619,5.49,9.0
817-82-4640,C,Mandalay,Normal,Male,Health_and_beauty,88.18,8,37.04,740.71,2019-03-20,10:28,Ewallet,703.67,4.7619,37.04,7.9
464-69-4201,B,Yangon,Member,Female,Home_and_lifestyle,61.35,6,19.33,386.51,2019-01-12,18:47,Credit_card,367.18,4.7619,19.33,5.7
725-56-3456,B,Yangon,Member,Male,Electronic_accessories,20.97,4,4.4,88.07,2019-01-16,22:04,Cash,83.67,4.7619,4.4,9.4
571-71-4224,A,Mandalay,Member,Female,Electronic_accessories,91.33,3,14.38,287.69,2019-02-07,20:02,Cash,273.31,4.7619,14.38,7.8
527-57-7582,B,Mandalay,Member,Male,Health_and_beauty,9.79,2,1.03,20.56,2019-02-01,12:20,Ewallet,19.53,4.7619,1.03,6.7
944-50-3037,C,Yangon,Normal,Male,Electronic_accessories,70.34,4,14.77,295.43,2019-01-22,12:19,Credit_card,280.66,4.7619,14.77,9.7
625-95-9730,A,Naypyitaw,Normal,Male,Home_and_lifestyle,28.02,6,8.83,176.53,2019-02-26,21:44,Ewallet,167.7,4.7619,8.83,6.6
152-83-1455,A,Mandalay,Normal,Male,Electronic_accessories,72.65,5,19.07,381.41,2019-02-19,17:06,Credit_card,362.34,4.7619,19.07,7.7
837-68-5501,C,Yangon,Normal,Female,Health_and_beauty,31.26,8,13.13,262.58,2019-02-01,12:54,Credit_card,249.45,4.7619,13.13,9.3
467-14-5479,C,Naypyitaw,Normal,Female,Home_and_lifestyle,78.24,3,12.32,246.46,2019-01-31,12:52,Cash,234.14,4.7619,12.32,6.5
754-37-3858,C,Naypyitaw,Normal,Male,Electronic_accessories,30.34,8,12.74,254.86,2019-03-06,15:11,Credit_card,242.12,4.7619,12.74,7.7
278-59-7111,A,Mandalay,Normal,Male,Home_and_lifestyle,98.82,8,41.5,830.09,2019-03-16,20:03,Ewallet,788.59,4.7619,41.5,8.2
750-75-9090,B,Yangon,Normal,Male,Health_and_beauty,23.05,6,7.26,145.22,2019-02-07,20:30,Ewallet,137.96,4.7619,7.26,5.9
241-80-2556,B,Naypyitaw,Member,Female,Electronic_accessories,37.26,7,13.69,273.86,2019-03-05,15:24,Cash,260.17,4.7619,13.69,9.9
728-67-3015,A,Mandalay,Member,Female,Electronic_accessories,99.97,3,15.75,314.91,2019-03-04,12:59,Ewallet,299.16,4.7619,15.75,9.1
971-79-5467,A,Yangon,Normal,Female,Electronic_accessories,37.31,7,13.71,274.23,2019-01-02,14:36,Ewallet,260.52,4.7619,13.71,7.0
253-18-2215,B,Yangon,Member,Female,Electronic_accessories,68.9,6,21.7,434.07,2019-03-29,16:14,Ewallet,412.37,4.7619,21.7,9.1
108-10-8371,C,Yangon,Normal,Female,Home_and_lifestyle,50.25,5,13.19,263.81,2019-01-20,16:47,Credit_card,250.62,4.7619,13.19,5.6
295-28-6011,B,Mandalay,Member,Female,Home_and_lifestyle,9.46,5,2.48,49.67,2019-01-15,19:08,Ewallet,47.19,4.7619,2.48,5.3
609-40-5267,A,Mandalay,Member,Male,Health_and_beauty,92.77,3,14.61,292.23,2019-03-14,14:14,Credit_card,277.62,4.7619,14.61,8.8
893-87-2892,C,Mandalay,Normal,Female,Home_and_lifestyle,79.04,10,41.5,829.92,2019-02-16,22:00,Credit_card,788.42,4.7619,41.5,8.4
828-25-2299,B,Mandalay,Member,Female,Electronic_accessories,82.51,8,34.65,693.08,2019-01-26,17:53,Ewallet,658.43,4.7619,34.65,9.6
108-53-9315,C,Naypyitaw,Member,Female,Electronic_accessories,86.6,1,4.55,90.93,2019-03-06,20:42,Cash,86.38,4.7619,4.55,6.5
135-37-4498,B,Mandalay,Normal,Female,Home_and_lifestyle,23.52,4,4.94,98.78,2019-01-22,14:50,Ewallet,93.84,4.7619,4.94,5.2
